FORMATTED_ID	Series	SMILES	H3D Batch Number	Enzyme	MOD	IC50	Substrate 1	Substrate 1 Concentration	Substrate 2	Substrate 2 Concentration	RESULT_DATE	COMPLETED_DATE
H3D-021279	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(=O)c2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021279-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/02/27	2023/02/28
H3D-021279	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(=O)c2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021279-01	PvPI4KB		0.00477	ATP	10	PI	110	2023/06/19	2023/06/19
H3D-021279	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(=O)c2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021279-01	PvPI4KB		0.0126	ATP	500	PI	200	2023/06/19	2023/06/19
H3D-021279	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(=O)c2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021279-01	PvPI4KB		0.00315	ATP	10	PI	110	2023/06/20	2023/06/20
H3D-021279	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(=O)c2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021279-01	PvPI4KB		0.00909	ATP	500	PI	200	2023/06/20	2023/06/20
H3D-021279	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(=O)c2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021279-01	PvPI4KB		0.00397	ATP	10	PI	110	2023/06/21	2023/06/21
H3D-021280	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(=O)CN)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021280-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/02/27	2023/02/28
H3D-021281	PI4K_ImQn	CN1C(=O)N(C2CCN(CC2)C(C)(C)C(=O)O)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021281-01	PvPI4KB		0.000879	ATP	10	PI	110	2023/02/27	2023/02/28
H3D-021287	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(C1)CC(=O)N)C(=O)N3	H3D-021287-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/02/27	2023/02/28
H3D-021292	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3	H3D-021292-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/02/27	2023/02/28
H3D-021292	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3	H3D-021292-01	PvPI4KB		0.00514	ATP	10	PI	110	2023/06/19	2023/06/19
H3D-021292	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3	H3D-021292-01	PvPI4KB		0.0138	ATP	500	PI	200	2023/06/19	2023/06/19
H3D-021292	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3	H3D-021292-01	PvPI4KB		0.000924	ATP	10	PI	110	2023/06/20	2023/06/20
H3D-021292	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3	H3D-021292-01	PvPI4KB		0.00264	ATP	500	PI	200	2023/06/20	2023/06/20
H3D-021292	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3	H3D-021292-01	PvPI4KB		0.00186	ATP	10	PI	110	2023/06/21	2023/06/21
H3D-021339	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)C(C)(C)C(=O)NC2CC2)c2c1cnc1ccc(cc21)-c1cccnc1C	H3D-021339-01	PvPI4KB		0.0317	ATP	10	PI	110	2023/02/27	2023/02/28
H3D-021340	PI4K_ImQn	CN(C)CCCN1CCC[C@@H](C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1cccnc1C	H3D-021340-01	PvPI4KB		0.00127	ATP	10	PI	110	2023/02/27	2023/02/28
H3D-021340	PI4K_ImQn	CN(C)CCCN1CCC[C@@H](C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1cccnc1C	H3D-021340-01	PvPI4KB		0.00982	ATP	10	PI	110	2023/06/21	2023/06/21
H3D-021348	SFK82	Cn1cc(cn1)-c1n[nH]c2ncc(cc12)-c1ccc(cc1)C(=O)N	H3D-021348-01	PvPI4KB		0.0963	ATP	10	PI	110	2023/04/06	2023/04/06
H3D-021348	SFK82	Cn1cc(cn1)-c1n[nH]c2ncc(cc12)-c1ccc(cc1)C(=O)N	H3D-021348-01	PvPI4KB		0.125	ATP	10	PI	110	2023/04/06	2023/04/06
H3D-021374	SFK52	COc1ccc(cc1)-c1ccn2ncc(c2c1)-c1ccc(nc1)S(=O)(=O)C	H3D-021374-01	PvPI4KB		0.0454	ATP	10	PI	110	2023/08/03	2023/08/14
H3D-021374	SFK52	COc1ccc(cc1)-c1ccn2ncc(c2c1)-c1ccc(nc1)S(=O)(=O)C	H3D-021374-01	PvPI4KB		0.0176	ATP	10	PI	110	2023/08/16	2023/08/16
H3D-021375	SFK52	COc1ccc(cc1)-c1ccc2ncc(n2c1)-c1ccc(nc1)S(=O)(=O)C	H3D-021375-01	PvPI4KB		0.681	ATP	10	PI	110	2023/08/03	2023/08/14
H3D-021375	SFK52	COc1ccc(cc1)-c1ccc2ncc(n2c1)-c1ccc(nc1)S(=O)(=O)C	H3D-021375-01	PvPI4KB		0.426	ATP	10	PI	110	2023/08/16	2023/08/16
H3D-021376	SFK52	COc1cccc(c1)-c1ccc2ncc(n2c1)-c1ccc(nc1)S(=O)(=O)C	H3D-021376-01	PvPI4KB	>	10	ATP	10	PI	110	2023/08/03	2023/08/14
H3D-021376	SFK52	COc1cccc(c1)-c1ccc2ncc(n2c1)-c1ccc(nc1)S(=O)(=O)C	H3D-021376-01	PvPI4KB	>	10	ATP	10	PI	110	2023/08/16	2023/08/16
H3D-021470	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCNC1)C(=O)N3C	H3D-021470-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/20	2023/04/25
H3D-021470	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCNC1)C(=O)N3C	H3D-021470-01	PvPI4KB		0.00202	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021471	PI4K_ImQn	CN1C(=O)N([C@H]2CCCNC2)c2c1cnc1ccc(cc21)-c1cnn(c1)C |r|	H3D-021471-01	PvPI4KB		0.00556	ATP	10	PI	110	2023/04/20	2023/04/25
H3D-021471	PI4K_ImQn	CN1C(=O)N([C@H]2CCCNC2)c2c1cnc1ccc(cc21)-c1cnn(c1)C |r|	H3D-021471-01	PvPI4KB		0.0175	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021471	PI4K_ImQn	CN1C(=O)N([C@H]2CCCNC2)c2c1cnc1ccc(cc21)-c1cnn(c1)C |r|	H3D-021471-01	PvPI4KB		0.01	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021472	PI4K_ImQn	CN1C(=O)N([C@H]2CCCNC2)c2c1cnc1ccc(cc21)-c1ccccc1F	H3D-021472-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/20	2023/04/25
H3D-021472	PI4K_ImQn	CN1C(=O)N([C@H]2CCCNC2)c2c1cnc1ccc(cc21)-c1ccccc1F	H3D-021472-01	PvPI4KB		0.0044	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021515	PI4K_ImQn	CN1C(=O)N([C@H]2CCCNC2)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021515-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/20	2023/04/25
H3D-021515	PI4K_ImQn	CN1C(=O)N([C@H]2CCCNC2)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021515-01	PvPI4KB		0.00835	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021527	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(CCC(=O)N)C2)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021527-01	PvPI4KB		0.00184	ATP	10	PI	110	2023/04/20	2023/04/25
H3D-021527	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(CCC(=O)N)C2)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021527-01	PvPI4KB		0.00451	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021527	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(CCC(=O)N)C2)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021527-01	PvPI4KB		0.00786	ATP	10	PI	110	2023/06/21	2023/06/21
H3D-021528	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3C	H3D-021528-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021528	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3C	H3D-021528-01	PvPI4KB		0.00306	ATP	10	PI	110	2023/06/19	2023/06/19
H3D-021528	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3C	H3D-021528-01	PvPI4KB		0.00627	ATP	500	PI	200	2023/06/19	2023/06/19
H3D-021528	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3C	H3D-021528-01	PvPI4KB		0.00164	ATP	10	PI	110	2023/06/20	2023/06/20
H3D-021528	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3C	H3D-021528-01	PvPI4KB		0.00344	ATP	500	PI	200	2023/06/20	2023/06/20
H3D-021528	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(CCC(=O)N)C1)C(=O)N3C	H3D-021528-01	PvPI4KB		0.00337	ATP	10	PI	110	2023/06/21	2023/06/21
H3D-021529	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)Cc2cc(on2)C)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021529-01	PvPI4KB		0.0541	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021529	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)Cc2cc(on2)C)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021529-01	PvPI4KB		0.0645	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021530	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(C1)Cc1cc(on1)C)C(=O)N3C	H3D-021530-01	PvPI4KB		0.00337	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021530	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N([C@H]1CCCN(C1)Cc1cc(on1)C)C(=O)N3C	H3D-021530-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021537	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)Cc2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C |r|	H3D-021537-01	PvPI4KB		0.000844	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021537	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)Cc2nnc(o2)C)c2c1cnc1ccc(cc21)-c1cccnc1C |r|	H3D-021537-01	PvPI4KB		0.00568	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021541	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)Cc2nnc(o2)C)c2c1cnc1ccc(cc21)-c1ccccc1C |r|	H3D-021541-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021541	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)Cc2nnc(o2)C)c2c1cnc1ccc(cc21)-c1ccccc1C |r|	H3D-021541-01	PvPI4KB		0.0271	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021542	PI4K_ImQn	CN(C)CCCN1CCC(C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1cccnc1C	H3D-021542-01	PvPI4KB		0.00304	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021542	PI4K_ImQn	CN(C)CCCN1CCC(C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1cccnc1C	H3D-021542-01	PvPI4KB		0.0133	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021542	PI4K_ImQn	CN(C)CCCN1CCC(C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1cccnc1C	H3D-021542-01	PvPI4KB		0.00458	ATP	10	PI	110	2023/05/17	2023/05/17
H3D-021543	MLN0128	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccc(c1)NC(=O)C=C	H3D-021543-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/06	2023/04/26
H3D-021543	MLN0128	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccc(c1)NC(=O)C=C	H3D-021543-01	PvPI4KB		0.0491	ATP	10	PI	110	2023/04/06	2023/04/18
H3D-021544	MLN0128	CCC(=O)Nc1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	H3D-021544-01	PvPI4KB		0.0384	ATP	10	PI	110	2023/04/06	2023/04/26
H3D-021544	MLN0128	CCC(=O)Nc1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	H3D-021544-01	PvPI4KB		0.0331	ATP	10	PI	110	2023/04/06	2023/04/18
H3D-021545	MLN0128	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccc(c1)NC(=O)CCl	H3D-021545-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/06	2023/04/26
H3D-021545	MLN0128	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccc(c1)NC(=O)CCl	H3D-021545-01	PvPI4KB		0.0407	ATP	10	PI	110	2023/04/06	2023/04/18
H3D-021546	MLN0128	CCC(=O)Nc1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	H3D-021546-01	PvPI4KB		0.00132	ATP	10	PI	110	2023/04/20	2023/04/25
H3D-021546	MLN0128	CCC(=O)Nc1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	H3D-021546-01	PvPI4KB		0.0276	ATP	10	PI	110	2023/04/27	2023/04/27
