identifier,input-smiles,inchikey,smiles,true-value,pred-value,kerastuner_estimators-eos7w6n,kerastuner_estimators-eos2gw4,kerastuner_estimators-eos4u6p,kerastuner_estimators-eos78ao,kerastuner_estimators-eos39co,kerastuner_estimators-eos5axz,flaml_estimators-eos7w6n,flaml_estimators-eos2gw4,flaml_estimators-eos4u6p,flaml_estimators-eos78ao,flaml_estimators-eos39co,flaml_estimators-eos5axz,umap-0,umap-1,pca-0,pca-1
entry-0000595,CCN(CCO)CCCOc1ccc2c(ncnc2c1)Nc1cc(n[nH]1)CC(=O)Nc1cccc(c1)F,QYZOGCMHVIGURT-UHFFFAOYSA-N,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,0.0,0.0812309690235644,0.1242198348045349,0.1695049852132797,0.2159911692142486,0.000175197070348,0.0700119063258171,0.0016443680506199,0.1225775197515027,0.1237430738957025,0.1541409123138708,0.0879323764910704,0.0,0.1520079825864352,-1.2634193897247314,7.937695503234863,-1.8496127128601076,-0.4755046665668487
entry-0000596,COc1cc2c(ncnc2cc1OCCCN1CCOCC1)Nc1ccc(cc1)NC(=O)c1ccccc1,OGNYUTNQZVRGMN-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,0.0,0.0520371650286409,0.1063221395015716,0.1021468490362167,0.1421977281570434,0.0003639153437688,0.0231480561196804,0.0004881007771473,0.0985723012257362,0.1248837851575384,0.1600775044573595,0.0175354742577837,0.0,0.1425542735582582,0.075145736336708,7.896167278289795,-1.7347352504730225,0.5016101598739624
entry-0000597,COc1cc2c(ncnc2cc1OCCCN1CCOCC1)Nc1ccc(cc1)NC(=O)c1ccccc1,OGNYUTNQZVRGMN-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,0.0,0.0520371650286409,0.1063221395015716,0.1021468490362167,0.1421977281570434,0.0003639153437688,0.0231480561196804,0.0004881007771473,0.0985723012257362,0.1248837851575384,0.1600775044573595,0.0175354742577837,0.0,0.1425542735582582,0.075145736336708,7.896167278289795,-1.7347352504730225,0.5016101598739624
entry-0000598,CN(CC1)CCC1C2=NC(C3=CC=C(F)C(NS(C)(=O)=O)=C3)=C(C4=NC(NCC5CC5)=NC=C4)S2,LIGMPEYLZKWWSR-UHFFFAOYSA-N,CN1CCC(c2nc(-c3ccc(F)c(NS(C)(=O)=O)c3)c(-c3ccnc(NCC4CC4)n3)s2)CC1,1.0,0.676036806766647,0.6657572388648987,0.6050674915313721,0.354081243276596,0.9702773094177246,0.9271636605262756,0.9591900110244752,0.4519716721551386,0.5614776112394696,0.4170239823642789,0.8322482955275269,1.0,0.3115190101669116,0.5025758743286133,14.647682189941406,1.2749868631362915,-0.8774786591529846
entry-0000599,CN(CC1)CCC1C2=NC(C3=CC=C(F)C=C3)=C(C4=NC(NC5=CC=C(N6CCNCC6)C=C5)=NC=C4)S2,GJHIMWIYQKRLGZ-UHFFFAOYSA-N,CN1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)s2)CC1,1.0,0.5605636670042128,0.6015412211418152,0.2633155882358551,0.1648018658161163,0.9637580513954164,0.6929128170013428,0.999121367931366,0.1439491167690161,0.45222514944496,0.1898858554746371,0.934233629051796,1.0,0.2011754346660156,3.4670214653015137,8.572551727294922,0.4279040992259979,0.1598650515079498
entry-0000600,FC(C=C1)=CC=C1C2=C(C3=NC(NC4=CC=C(N5CCN(C)CC5)C=C4)=NC=C3)SC(C6CCNCC6)=N2,VGHIIWVNJHJIHO-UHFFFAOYSA-N,CN1CCN(c2ccc(Nc3nccc(-c4sc(C5CCNCC5)nc4-c4ccc(F)cc4)n3)cc2)CC1,1.0,0.6771178478651939,0.6806874871253967,0.6272358894348145,0.3884325623512268,0.9453725218772888,0.5473676919937134,0.5332553386688232,0.3515460436523758,0.5941949178336265,0.4170239823642789,0.9482429169774927,1.0,0.4666194500013544,0.5501377582550049,11.320974349975586,0.78812575340271,-1.0802252292633057
entry-0000601,FC(C=C1)=CC=C1C2=C(C3=NC(NC4=CC=C(N5CCNCC5)C=C4)=NC=C3)SC(N6CCOCC6)=N2,AGHYWROLEMGBLK-UHFFFAOYSA-N,Fc1ccc(-c2nc(N3CCOCC3)sc2-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,1.0,0.6980957387187522,0.8571192622184753,0.6110314130783081,0.3676560223102569,0.985800564289093,0.6774253845214844,0.9942159056663512,0.4319948228963357,0.6146818032823524,0.453099018439315,0.922385002961684,1.0,0.477952046415012,0.2675291895866394,10.910639762878418,0.8362864255905151,-0.9361000061035156
entry-0000602,FC(C=C1)=CC=C1C2=C(C3=NC(NC4=CC=C(N5CCNCC5)C=C4)=NC=C3)SC(N6CCCC6)=N2,BOTWVGZGMDPRCO-UHFFFAOYSA-N,Fc1ccc(-c2nc(N3CCCC3)sc2-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,1.0,0.7032085949821894,0.8877049684524536,0.7550264000892639,0.3784133791923523,0.9735055565834044,0.6146901249885559,0.9987261891365052,0.4319948228963357,0.6959148967919885,0.4170239823642789,0.8912766488616402,1.0,0.477952046415012,0.7617422938346863,11.148022651672363,0.8664510250091553,-0.9689543843269348
entry-0000603,NC1=NC(C2=CC=C(F)C=C2)=C(C3=NC(NC4=CC=C(N5CCN(C)CC5)C=C4)=NC=C3)S1,IUBBVBGLQMKSFO-UHFFFAOYSA-N,CN1CCN(c2ccc(Nc3nccc(-c4sc(N)nc4-c4ccc(F)cc4)n3)cc2)CC1,1.0,0.5726826779585931,0.6700752377510071,0.5389962196350098,0.3710364699363708,0.7843233942985535,0.1080955639481544,0.0226646661758422,0.3821557307554142,0.4867410483546645,0.453099018439315,0.779322587796508,1.0,0.4410893013169729,0.9358785152435304,11.18686580657959,0.4702369272708893,-0.1698778867721557
entry-0000604,NC1=NC(C2=CC=C(F)C=C2)=C(C3=NC(NC4=CC=C(N5CCNCC5)C=C4)=NC=C3)S1,FCMDHWCYTXEYLY-UHFFFAOYSA-N,Nc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)s1,1.0,0.5173765585684342,0.8333660364151001,0.1199037507176399,0.2909634113311767,0.6267073750495911,0.4227313995361328,0.0003741993859875,0.3482313015606408,0.2551552164049019,0.2805720321856933,0.7847609979732867,1.0,0.2040779725468918,2.404498338699341,9.327577590942385,0.3108715415000915,-0.4968522787094116
