Series	SMILES	IC50	Source
Penzo	CN(CCNC(C1=CC(C2=CC(O)=CC=C2)=C(C3=CC=NC=C3)O1)=O)C	0.162	literature 
Penzo	CN1CCC(N(CC2=C3C(N=C(C4=NON=C4N)N3CC)=C(C5=CC=CC=C5)N=C2)C)CC1	0.039	literature 
Penzo	NCCCNC1=NC(C2=CC=CC=C2)=C3C(N(CNC4=NON=C45)C5=N3)=C1	0.079	literature 
Penzo	NC1=NON=C1C2=NC3=C(C4=CNC=C4)N=CC(OCC5CCNCC5)=C3N2CC	0.022	literature 
Penzo	CNS(C1=CC=CC(NC2=NC(NC3=CC=CC(S(NC)(=O)=O)=C3)=NC=C2)=C1)(=O)=O	0.07	literature 
Penzo	CNS(C(C=C1)=CC=C1NC2=NC(NC3=C4C(NN=C4)=CC=C3)=CC=N2)(=O)=O	0.082	literature 
Penzo	CN(CC1)CCN1C(C2=CC(C(O3)=C(C4=CC=C(OC)C=C4)C5=C3N=CN=C5N)=CC=C2)=O	0.01	literature 
Penzo	NC1=C2C(OC(C(NCCN(C)C)=O)=C2C3=CC=C(OC)C=C3)=NC=N1	0.11	literature 
Penzo	O=C(NC1=CC(OC)=CC=C1OC)C(C)SC2=NC=NC3=C2N=CN3	0.347	literature 
Penzo	COC1=C(OC)C=CC(CCNC(CSC2=C3C(NN=C3)=NC=N2)=O)=C1	0.104	literature 
Penzo	CN1CCN(C2=NC(NC3=CC=CC(OC)=C3)=NC(C4=CC=NC=C4)=C2)CC1	0.027	literature 
Penzo	N#CCC(C=C1)=CC=C1C2=CC=NC(NC3=CC=C4C=NNC4=C3)=N2	0.092	literature 
Penzo	O=C1NC=CC(CCNC2=NC(C3=CC(CN4CCNCC4)=CC=C3)=CC=N2)=C1	0.427	literature 
Penzo	NC(C1=CC=C(F)C=C1NC2=NC(NC3=CC=C(CS(C)(=O)=O)C=C3OC)=NC4=C2C=CN4)=O	0.05	literature 
Penzo	OC[C@@H](C1=CC=CC=C1)NC(C2=NC3=C(C4=CNN=C4)C=NC=C3C=C2)=O	0.094	literature 
Penzo	NCCNCC(S1)=CC=C1C2=C(OC3CCNCC3)C=C4C(C=CN=C4)=C2	0.324	literature 
Penzo	CC1=C(C=CO1)C2=NC=C(OCCNC)C=C2C3=CC=C4C(C=CN=C4)=C3	0.007	literature 
Penzo	O=C(C1=CC(OCC2=CN=CC=C2)=CC=C1)N3CCC4=C(C=CS4)C3CN5CCCCC5	0.036	literature 
Penzo	OC1=CC(C2=C(C3=CC=NC=C3)C4=C(N=C(N)C=C4)N2)=CC=C1Cl	0.022	literature 
Penzo	NC1=NC(NC2=C3C(C=NC=C3)=CC=C2)=NN1C(C4CCCCC4)=O	0.09	literature 
Penzo	CC(C1=CC=CC(C2=NC(NCCC3=CC=C(S(N)(=O)=O)C=C3)=NC=C2)=C1)N4CCNCC4	0.117	literature 
Penzo	ClC1=C(OC)C=CC(C2=C(SC(NC3CC3)=N2)C4=CC=NC(NC5=CC(F)=C(OCCN6CCCC6)C=C5)=N4)=C1	0.00061	literature 
Penzo	FC1=C(OCCN2CCCC2)C=CC(NC3=NC(C4=C(C5=CC(C6=CN=NN6)=CC=C5)N=C(NCC)S4)=CC=N3)=C1	0.00092	literature 
Penzo	OOC1=C(OCCN(C)C)C=C(NC2=NC(C3=C(C4=CC(Cl)=C(OC)C=C4)N=C(NC5CC5)S3)=CC=N2)C=C1	0.00054	literature 
Penzo	CN(C)CCOC1=C(OC)C=CC(NC2=NC(C3=C(C4=CC(OC)=CC(OC)=C4)N=C(NCC)S3)=CC=N2)=C1	0.00063	literature 
Penzo	CC1=CC(NC2=NC(C3=C(C4=CC(OC)=CC(OC)=C4)N=C(NCC)S3)=CC=N2)=CC=C1OCCN(C)C	0.00111	literature 
Penzo	CCN(CC1)CC1OC(N=C2)=CC=C2NC3=NC(C4=C(C5=CC(OC)=CC(OC)=C5)N=C(NCC)S4)=CC=N3	0.00048	literature 
Penzo	CC1=CC(NC2=NC=CC(C3=C(C4=CC(OC)=CC=C4)N=C(NCC)S3)=N2)=CC=C1OCCN(C)C	0.00091	literature 
Penzo	CC(C)N1CCC(OC2=C(F)C=C(NC3=NC=CC(C4=C(C5=CC(OC)=CC(OC)=C5)N=C(N)S4)=N3)C=C2)CC1	0.00063	literature 
Penzo	COC1=CC(C2=C(SC(NCC)=N2)C3=NC(NC4=CC(OC)=C(C=C4)N5CCN(C(C)C)CC5)=NC=C3)=CC(OC)=C1	0.0009	literature 
Penzo	ClC1=CC(NC2=NC(C3=C(C4=CC=CC(O)=C4)N=C(NCC)S3)=CC=N2)=CC=C1OCCN5CCCC5	0.00075	literature 
